,text,spacy
1217,rt @washingtonpost kevin costner wins best actor in miniseries for ,rt @washingtonpost kevin costner
1218,"rt @variety winner kevin costner wins for best actor in a miniseries ""hatfields mccoys"" ",
1219,kevin costner wins for hatfields mccoys robbingdamien francisco for dog president ,
1220,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1221,rt @todayent adeles wins best original song in a motion picture ,
1222,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1223,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1224,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1225,rt @tvgmdamian kevin costner wins best actor tv movie or mini and he could care less ,kevin costner
1226,kevin costner wins and the first thing i start talking about is the bodyguard ,kevin costner
1227,rt @huffingtonpost adele wins best original song at the ,
1228,"rt @fashionweeknyc adele wins the golden globe for best original song for ""skyfall"" ",
1229,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1230,"rt @thr kevin costner wins the for best actor in a miniseries or tv movie for ""hatfields and mccoys"" ",rt @thr kevin costner
1231,"rt @ontheredcarpet kevin costner of ""hatfields mccoys"" wins best actor in a miniseriestv movie at the ",kevin costner
1232,not only does adele win grammys which makes sense she wins fricken golden globes ,
1233,"rt @todayshow ""homeland"" wins the for best tv series drama do you agree ",
1234,rt @justwrite115 thats my girl rt @beautifulselah adele wins love her gorgeous talented ,@justwrite115
1235,rt @tonydizinno skyfall not only wins best song but adele wins best accent god i love foreign accents ,rt @tonydizinno
1236,rt @ap skyfall by adele and paul epworth wins golden globe for original song rjj,
1237,"rt @ontheredcarpet kevin costner of ""hatfields mccoys"" wins best actor in a miniseriestv movie at the ",kevin costner
1238,kevin costner wins best actor for hatfields mccoys and yet his mood seems not to have brightened am,kevin costner
1239,@007 wins rt @eonline tweeted at 750 pm on sun jan 13 2013best original song motion picture skyfall by @officialadele ,
1240,rt @washingtonpost kevin costner wins best actor in miniseries for ,rt @washingtonpost kevin costner
1241,bill clinton wins all the golden globes ,bill clinton
1242,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1243,golden globes 2013 homeland wins for best tv drama ,
1244,"golden globes 2013 homeland wins for best tv drama showtimes ""homeland"" has won the golden globe award for best ",
1245,bill clinton wins ,bill clinton
1246,golden globes 2013 homeland wins for best tv drama ,
1247,rt @antderosa bill clinton wins best actor who did not have sex with that woman ,rt @antderosa bill clinton
1248,rt @antderosa bill clinton wins best actor who did not have sex with that woman ,rt @antderosa bill clinton
1249,rt @hitfixdaniel lena dunham wins for outstanding excitement at bill clintons appearance ,rt @hitfixdaniel lena dunham
1250,rt @pompomflipflop bill clinton wins all the golden globes,bill clinton
1251,rt @nbc and kevin costner wins best actor in a miniseries or motion picture made for television for hatfields mccoys ,kevin costner
1252,rt @antderosa bill clinton wins best actor who did not have sex with that woman ,rt @antderosa bill clinton
1253,rt @antderosa bill clinton wins best actor who did not have sex with that woman ,rt @antderosa bill clinton
1254,"""@jessetyler i hope adele wins her award today so we can hear her ""fhank you speech"" love her"" hilarious",
1255,"rt @anglophenia kevin costner wins best actor miniseries for ""hatfields and mccoys"" ",kevin costner
1256,rt @hitfixdaniel lena dunham wins for outstanding excitement at bill clintons appearance ,rt @hitfixdaniel lena dunham
1257,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1258,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
1259,rt @antderosa bill clinton wins best actor who did not have sex with that woman ,rt @antderosa bill clinton
1260,rt @washingtonpost kevin costner wins best actor in miniseries for ,rt @washingtonpost kevin costner
1261,rt @hitfixdaniel lena dunham wins for outstanding excitement at bill clintons appearance ,rt @hitfixdaniel lena dunham
1262,jessica alba wins my best everything ,jessica alba
1263,"rt @bostondotcom wins for last won for ""dances with wolves"" ",@bostondotcom
1264,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1265,rt @hitfixdaniel lena dunham wins for outstanding excitement at bill clintons appearance ,rt @hitfixdaniel lena dunham
1266,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
1267,1nancy @1nancy @jerrycferrara adele wins best heist of her mothers drapes in lieu of a dress ,
1268,"rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
1269,"rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
1270,"brilliant ""@antderosa bill clinton wins best actor who did not have sex with that woman ",bill clinton
1271,rt @naturallysteph jonathan from buffy i love it when he wins awards ,
1272,i think if bill clinton intros your movie it automatically wins ,bill clinton
1273,kevin costner wins best actor in a miniseries or motion picture made for television ,kevin costner
1274,heres a gif of angry taylor swift as adele wins best song and heres our live blog ,
1275,skyfall wins best original song in the golden globes another achievement adele,
1276,"""skyfall"" from ""skyfall"" wins for best original song in a motion picture ",
1277,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1278,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1279,rt @washingtonpost wins best tv series drama ,rt @washingtonpost
1280,"bubba bill clinton at the golden globes introducing ""lincoln"" showing why hell make a great first gentleman after hillary wins ",bubba bill clinton
1281,rt @latimesmovies golden globes 2013 christoph waltz wins first award for django ,
1282,rt @theatlanticwire heres a gif of angry taylor swift as adele wins best song and heres our live blog ,
1283,rt @hitfixdaniel lena dunham wins for outstanding excitement at bill clintons appearance ,rt @hitfixdaniel lena dunham
1284,its pretty cool when you and your 7 year old yell when wins for ,
1285,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1286,clinton wins the golden globe for loudest applause ,clinton
1287,rt @antderosa bill clinton wins best actor who did not have sex with that woman ,rt @antderosa bill clinton
1288,so @lenadunham hands down wins best reaction to pimp billy the reals entrance ,
1289,rt @hitfixdaniel lena dunham wins for outstanding excitement at bill clintons appearance ,rt @hitfixdaniel lena dunham
1290,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1291,rt @hitfixdaniel lena dunham wins for outstanding excitement at bill clintons appearance ,rt @hitfixdaniel lena dunham
1292,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1293,rt @hitfixdaniel lena dunham wins for outstanding excitement at bill clintons appearance ,rt @hitfixdaniel lena dunham
1294,amy poehler wins the golden globes,
1295,rt @bbcnewsus wins best original song for ,rt @bbcnewsus
1296,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1297,"kevin costner wins best actor in a miniseries for the history channels brilliant ""hatfields mccoys"" ",kevin costner
1298,rt @hitfixdaniel lena dunham wins for outstanding excitement at bill clintons appearance ,rt @hitfixdaniel lena dunham
1299,i hope lincoln wins best picture and ddl wins best actor ,lincoln
1300,@adamtodbrown there must be some category where that wins him an award these are the mind you,
1301,rt @abcnewsent damian lewis wins best actor tv series or drama his first win 3rd nom ,
1302,"rt @edgemagazinellc adele wins her first for the song she sang and wrote for ""skyfall"" get it boo ",
1303,damian lewis wins best actor in a drama series at the golden globes ,
1304,"rt @ontheredcarpet kevin costner of ""hatfields mccoys"" wins best actor in a miniseriestv movie at the ",kevin costner
1305,rt @antderosa bill clinton wins best actor who did not have sex with that woman ,rt @antderosa bill clinton
1306,kristen wiig just wins good lord ,
1307,beautiful as always @jessicaalba kevin costner wins ,kevin costner
1308,rt @antderosa bill clinton wins best actor who did not have sex with that woman ,rt @antderosa bill clinton
1309,"rt @ontheredcarpet kevin costner of ""hatfields mccoys"" wins best actor in a miniseriestv movie at the ",kevin costner
1310,r2d2 wins bsdbest supporting droid ,
1311,lincoln wins best pic you dont drag clinton out of somebodys bed to introduce 2nd place ,lincoln
1312,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1313,"rt @ontheredcarpet kevin costner of ""hatfields mccoys"" wins best actor in a miniseriestv movie at the ",kevin costner
1314,"tay wins 3 grammys next month the golden globes ""and i realize the joke is on me""",
1315,rt @usatoday julianne moore wins best actress in miniseriestv movie for were updating winners here ,julianne moore
1316,christoph waltz wins best supporting actor at golden globes 2013 ,christoph waltz
1317,improv wins all awards @secondcityto @sctrainingto ,
1318,will feral wins best presenter of any award ,
1319,havent seen any of these movies i assume meryl streep wins because shes meryl streep and because maggie already did ,
1320,rt @theatlanticwire heres a gif of angry taylor swift as adele wins best song and heres our live blog ,
1321,"rt @huffpostent ""skyfall"" by adele wins best song unsurprisingly seriously adele should sing the theme song for every movie ",
1322,i hope dame judi dench wins but i also love jen lawrence ,judi dench
1323,rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,
1324,rt @antderosa bill clinton wins best actor who did not have sex with that woman ,rt @antderosa bill clinton
1325,"and al gore invented the golden globes ""@antderosa bill clinton wins best actor who did not have sex with that woman ",al gore
1326,omg omg omg sweating hope jennifer lawrence wins ,jennifer lawrence
1327,"rt @alltoswift tay wins 3 grammys next month the golden globes ""and i realize the joke is on me""",rt @alltoswift tay
1328,hope jennifer lawrence wins ,jennifer lawrence
1329,i really hope jennifer lawrence wins this one ,jennifer lawrence
1330,hope jennifer lawrence wins ,jennifer lawrence
1331,rt @velmakelly kristens face always wins ,
1332,tommy lee jones wins for best facial expression ,tommy lee jones
1333,"jennifer lawrence wins best actress in comedymusical for ""silver linings playbook"" ",jennifer lawrence
1334,jennifer lawrence wins for silver linings playbook ,jennifer lawrence
1335,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1336,yesssss jennifer lawrence wins ,yesssss jennifer lawrence
1337,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1338,jla wins silver linings playbook,jla
1339,jennifer lawrence wins ,jennifer lawrence
1340,yay jennifer lawerence wins ,yay jennifer lawerence
1341,old vs young young wins like that time haley joel osment beat michael caine um ,
1342,jennifer lawrence wins ,jennifer lawrence
1343,"rt @alltoswift tay wins 3 grammys next month the golden globes ""and i realize the joke is on me""",rt @alltoswift tay
1344,"rt @thr jennifer lawrence wins the for best actress in a comedy or musical for ""silver linings playbook"" ",rt @thr jennifer lawrence
1345,jennifer lawrence wins best actress in a motion picture comedy for silver linings playbook ,jennifer lawrence
1346,yessss jennifer lawrence wins the golden globes looks stunning,yessss jennifer lawrence
1347,"rt @thr jennifer lawrence wins the for best actress in a comedy or musical for ""silver linings playbook"" ",rt @thr jennifer lawrence
1348,totally called it jennifer lawrence wins ,jennifer lawrence
1349,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1350,"jlaw jennifer lawrence wins best actress in a comedy for silver linings playbook ""i beat meryl"" heeee",jennifer lawrence
1351,jennifer lawrence wins best actress in a comedy for silver linings playbook ,jennifer lawrence
1352,"""@ap skyfall by adele and paul epworth wins golden globe for original song rjj""",
1353,jlaw wins i am so happy omfgggg ,
1354,jennifer lawrence wins for silver lining playbook and we all win if meryl streep ever plays a sassy sheriff ,jennifer lawrence
1355,"jennifer lawrence wins for the phenomenal ""silver linings playbook"" ",jennifer lawrence
1356,jlaw my girl wins for slpshe can give me her cold @virginradio96 god dont make a streep joke,
1357,yay jennifer lawrence wins ,yay jennifer lawrence
1358,jennifer lawrence wins the for silver linings playbook,jennifer lawrence
1359,rt @bbcnewsus wins best actress motion picture comedy or musical at for silver linings playbook ,rt @bbcnewsus
1360,rt @washingtonpost jennifer lawrence wins best actress in a comedy or musical movie for ,rt @washingtonpost jennifer lawrence
1361,jennifer lawrence wins oehwdknc ,jennifer lawrence
1362,jennifer lawrence wins best actress motion picture comedy or musical for silver linings playbook ,jennifer lawrence
1363,rt @bbcnewsus wins best actress motion picture comedy or musical at for silver linings playbook ,rt @bbcnewsus
1364,squee jennifer lawrence wins ,jennifer lawrence
1365,rt @tonystarkradio jlaw my girl wins for slpshe can give me her cold @virginradio96 god dont make a streep joke,
1366,"""i beat meryl"" ha j law for all the wins ",
1367,rt @bbcnewsus wins best actress motion picture comedy or musical at for silver linings playbook ,rt @bbcnewsus
1368,"jennifer lawrence wins for ""silver linings playbook"" at the ""i beat meryl"" ",jennifer lawrence
1369,jennifer lawrence wins best actress in a comedy or musical hmm jessica chastain might not have a lock on oscar ,jennifer lawrence
1370,jennifer lawrence aka jla wins if youve never seen her in winters bone run and rent it no buy it ,jennifer lawrence
1371,jennifer lawrence wins for silver linings but to get to stage she has to make it past a host of trackerjacks ,jennifer lawrence
1372,jennifer lawrence wins best actress motion picture comedy or musical for ,jennifer lawrence
1373,jennifer lawrence wins best actress in a motion picture ,jennifer lawrence
1374,jennifer lawrence wins ,jennifer lawrence
1375,"jennifer lawrence wins the for best actress in a comedy or musical for ""silver linings playbook"" ",jennifer lawrence
1376,"rt @vulture jlaw jennifer lawrence wins best actress in a comedy for silver linings playbook ""i beat meryl"" heeee",jennifer lawrence
1377,"rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
1378,yay jennifer lawrence wins best actress in a comedymusical for the amazing silver linings playbook ,yay jennifer lawrence
1379,j law dumps her bf wins at the makes a streep joke i really like this girl,
1380,"rt @abc jennifer lawrence wins best actress motion picture comedy or musical for ""silver lining playbook"" ",rt @abc jennifer lawrence
1381,"rt @variety winner jennifer lawrence wins best actress in a musicalcomedy for ""silver linings playbook"" ",jennifer lawrence
1382,i think any film introduced by bill clinton automatically wins a best picture award ,bill clinton
1383,jennifer lawrence wins the golden globe for giving me a boner am i right ,jennifer lawrence
1384,"rt @apentertainment jennifer lawrence wins best actress in a comedy or musical for ""silver linings playbook"" ",jennifer lawrence
1385,jennifer lawrence wins ,jennifer lawrence
1386,yay jennifer wins she was amazing in silver linings playbook download it now if u havent seen it ,yay jennifer
1387,rt @ap skyfall by adele and paul epworth wins golden globe for original song rjj,
1388,yes wins ,
1389,yay jlaw jennifer lawrence wins ,jennifer lawrence
1390,jennifer lawrence wins the award for best actress comedy or musical that must mean she cant be nominated for drama weird ,jennifer lawrence
1391,jennifer lawrence wins best actress in a comedy or musical for ,jennifer lawrence
1392,"rt @vulture jlaw jennifer lawrence wins best actress in a comedy for silver linings playbook ""i beat meryl"" heeee",jennifer lawrence
1393,tommy lee jones was sideeyeing will ferrells primo mustache bill murray wins the facial hair battle today mandy we bored ,tommy lee jones
1394,rt @washingtonpost jennifer lawrence wins best actress in a comedy or musical movie for ,rt @washingtonpost jennifer lawrence
1395,rt @moviepass jennifer lawrence wins best actress ,jennifer lawrence
1396,jennifer lawrence wins best actress motion picture comedy or musical for silver linings playbook ,jennifer lawrence
1397,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1398,"rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
1399,christoph waltz wins golden globe for best supporting actor ,
1400,rt @660news jennifer lawrence wins best actress motion picture comedy or musical for silver linings playbook ,jennifer lawrence
1401,if jennifer lawrence wins an oscar thoughim boycotting life or the oscars ,jennifer lawrence
1402,rt @newser golden globes homeland wins for best drama ,
1403,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1404,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1405,game change wins 2 golden globes hbo political drama game change scored a double win at the golden globes sunda ,
1406,rt @iheartcarrie jennifer lawrence wins so deserved yay ,rt @iheartcarrie jennifer lawrence
1407,rt @wsjspeakeasy skyfall by adele wins best original song motion picture ,
1408,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1409,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1410,rt @660news jennifer lawrence wins best actress motion picture comedy or musical for silver linings playbook ,jennifer lawrence
1411,"rt @abc jennifer lawrence wins best actress motion picture comedy or musical for ""silver lining playbook"" ",rt @abc jennifer lawrence
1412,lawrence wins best actress in comedy or musical in film heard mixed reviews on silver lingings playbook as a whole ,lawrence
1413,"rt @fashionweeknyc adele wins the golden globe for best original song for ""skyfall"" ",
1414,"rt @abc jennifer lawrence wins best actress motion picture comedy or musical for ""silver lining playbook"" ",rt @abc jennifer lawrence
1415,yeah jennifer lawrence is going to cry a river if she wins the oscar as well ,jennifer lawrence
1416,"rt @theatlanticwire jennifer lawrence wins best actress makes sassy ""i beat meryl"" joke that doesnt seem to sit well ",jennifer lawrence
1417,rt @usatoday jennifer lawrence wins best actress in a comedy or musical movie for ,jennifer lawrence
1418,life is good pi wins the golden globe for best original score you may not be able to sing along to it but th ,
1419,rt @usatoday jennifer lawrence wins best actress in a comedy or musical movie for ,jennifer lawrence
1420,"rt @theatlanticwire jennifer lawrence wins best actress makes sassy ""i beat meryl"" joke that doesnt seem to sit well ",jennifer lawrence
1421,"rt @thr jennifer lawrence wins the for best actress in a comedy or musical for ""silver linings playbook"" ",rt @thr jennifer lawrence
1422,i hope hugh jackmans goatee wins best new actor ,hugh jackmans
1423,jennifer lawrence wins life ,jennifer lawrence
1424,rt @jillianschuster will ferrels mustache wins the golden globes,rt @jillianschuster
1425,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1426,"rt @vulture jlaw jennifer lawrence wins best actress in a comedy for silver linings playbook ""i beat meryl"" heeee",jennifer lawrence
1427,"rt @variety winner jennifer lawrence wins best actress in a musicalcomedy for ""silver linings playbook"" ",jennifer lawrence
1428,"rt @breznican jlaw wins golden weinstein no2 ""harvey thank you for killing whoever you had to kill to get me up here""",
1429,"rt @vulture jlaw jennifer lawrence wins best actress in a comedy for silver linings playbook ""i beat meryl"" heeee",jennifer lawrence
1430,rt @jenlawfans jennifer lawrence wins best actress in musical or comedy ,jennifer lawrence
1431,rt @amanwithballs why they keep showing taylor swift looking all bitter after everyone wins ,
1432,"rt @theroot247 wow jennifer lawrence wins ""what does it say i beat meryl"" ",jennifer lawrence
1433,an hour into so far have been surprised by any of the wins who ,
1434,rt @huffingtonpost jennifer lawrence wins best actress at the ,jennifer lawrence
1435,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1436,"rt @variety winner jennifer lawrence wins best actress in a musicalcomedy for ""silver linings playbook"" ",jennifer lawrence
1437,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1438,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1439,"rt @hollywoodlife jennifer lawrence wins for ""silver linings playbook"" at the ""i beat meryl"" ",jennifer lawrence
1440,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1441,"""harvey thank you for killing whoever you needed to kill to get me up here"" jennifer laweance wins everything ",
1442,rt @huffingtonpost jennifer lawrence wins best actress at the ,jennifer lawrence
1443,"rt @fashionweeknyc jennifer lawrence wins the golden globe for best actress in a comedymusical in ""silver linings playbook"" ",rt @fashionweeknyc jennifer lawrence
1444,rt @huffingtonpost jennifer lawrence wins best actress at the ,jennifer lawrence
1445,"rt @breznican jlaw wins golden weinstein no2 ""harvey thank you for killing whoever you had to kill to get me up here""",
1446,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1447,rt @washingtonpost jennifer lawrence wins best actress in a comedy or musical movie for ,rt @washingtonpost jennifer lawrence
1448,gosh every time jennifer lawrence wins i love her even more ,jennifer lawrence
1449,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1450,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1451,"rt @fashionweeknyc jennifer lawrence wins the golden globe for best actress in a comedymusical in ""silver linings playbook"" ",rt @fashionweeknyc jennifer lawrence
1452,rt @mrbateslegal maggie smith wins ,
1453,rt @moviefone jlaw wins best actress comedy ,
1454,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1455,perez julianne moore wins the game for best actress in a miniseries or made for tv movie at the golden globes ,perez julianne moore
1456,perez life is good pi wins the golden globe for best original score you may not be able to sing along to it ,
1457,"perez golden globes 2013 adele wins best original song while taylor swift gives her stank eye ""omg omg"" ",
1458,"rt @rallisp jennifer lawrence wins best actress for silver linings playbook in ""musical or comedy"" so it doesnt really count ",jennifer lawrence
1459,"rt @abc jennifer lawrence wins best actress motion picture comedy or musical for ""silver lining playbook"" ",rt @abc jennifer lawrence
1460,rt @cineplexmovies jennifer lawrence wins best actress in a comedymusical for silver linings playbook and says i beat meryl am,jennifer lawrence
1461,jennifer lawrence wins for silver linings playbook @aerocrazy9,jennifer lawrence
1462,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1463,best movie in ages mt @usatoday jennifer lawrence wins best actress in a comedy or musical movie for ,jennifer lawrence
1464,2013 golden globes jennifer lawrence wins best actress ,jennifer lawrence
1465,2013 golden globes jennifer lawrence wins best actress ,jennifer lawrence
1466,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1467,rt @knxdavid jennifer lawrence wins for best actress in a motion picture comedy or musical silver linings playbook @knx1070,@knxdavid jennifer lawrence
1468,rt @ashleysett jennifer lawrence wins best actress for silver linings playbook yes ,@ashleysett jennifer lawrence
1469,"yay rt ""@usatoday jennifer lawrence wins best actress in a comedy or musical movie for ",jennifer lawrence
1470,rt @christylemire so this means that lincoln definitely wins the bestpicture oscar right ,lincoln
1471,when jennifer lawrence wins we all win because we get to hear her hilarious acceptance speeches ,jennifer lawrence
1472,jennifer lawrence wins for silver linings playbook best speech of the night so far you beat meryl girl rp,jennifer lawrence
1473,life is good pi wins the golden globe for best original score you may not be able to sing along to it but th ,
1474,julianne moore wins the game for best actress in a miniseries or made for tv movie at the golden globes lindsa ,julianne moore
1475,"rt @thr jennifer lawrence wins the for best actress in a comedy or musical for ""silver linings playbook"" ",rt @thr jennifer lawrence
1476,"golden globes 2013 adele wins best original song while taylor swift gives her stank eye ""omg omg"" thats e ",
1477,"golden globes 2013 adele wins best original song while taylor swift gives her stank eye ""o ",
1478,rt @latimesmovies golden globes 2013 homeland wins for best tv drama ,
1479,"rt @rallisp jennifer lawrence wins best actress for silver linings playbook in ""musical or comedy"" so it doesnt really count ",jennifer lawrence
1480,"rt @popsugar she does it again wins for best actress in a comedy ""i beat meryl"" ",
1481,rt @ap skyfall by adele and paul epworth wins golden globe for original song rjj,
1482,rt @mattbinder katniss everdeen wins the hunger games ,
1483,rt @bbcnewsus wins best original song for ,rt @bbcnewsus
1484,golden globes homeland wins for drama series actor in a drama ,
1485,golden globes homeland wins for drama series actor in a drama ,
1486,golden globes homeland wins for drama series actor in a drama ,
1487,golden globes homeland wins for drama series actor in a drama ,
1488,golden globes homeland wins for drama series actor in a drama ,
1489,golden globes homeland wins for drama series actor in a drama ,
1490,rt @thehungergamers omg jennifer lawrence wins golden globes best actress award congrats jennifer ,jennifer lawrence
1491,golden globes homeland wins for drama series actor in a drama ,
1492,charlottefilmed homeland wins two golden globes ,
1493,golden globes homeland wins for drama series actor in a drama ,
1494,golden globes homeland wins for drama series actor in a drama ,
1495,golden globes homeland wins for drama series actor in a drama ,
1496,golden globes homeland wins for drama series actor in a drama ,
1497,golden globes homeland wins for drama series actor in a drama ,
1498,rt @usatoday jennifer lawrence wins best actress in a comedy or musical movie for ,jennifer lawrence
1499,golden globes homeland wins for drama series actor in a drama ,
